Year,Region,Age_Group,Total,High_school_grad_or_higher_count,High_school_grad_or_higher_pct,Bachelors_or_higher_count,Bachelors_or_higher_pct
2022,United States,Population 25 to 34 years,45233264.00,41945152.00,92.70,17984171.00,39.80
2022,United States,Population 35 to 44 years,44047644.00,39712990.00,90.20,17827897.00,40.50
2022,United States,Population 45 to 64 years,82603914.00,73458353.00,88.90,28280607.00,34.20
2022,United States,Population 65 years and over,57822315.00,50765578.00,87.80,17815659.00,30.80
2022,California,Population 25 to 34 years,5744459.00,5266591.00,91.70,2351604.00,40.90
2022,California,Population 35 to 44 years,5395388.00,4650072.00,86.20,2198152.00,40.70
2022,California,Population 45 to 64 years,9568024.00,7798413.00,81.50,3310766.00,34.60
2022,California,Population 65 years and over,6158902.00,5036014.00,81.80,2075419.00,33.70
2022,Pasadena,Population 25 to 34 years,25156.00,24627.00,97.90,16274.00,64.70
2022,Pasadena,Population 35 to 44 years,19076.00,17402.00,91.20,11540.00,60.50
2022,Pasadena,Population 45 to 64 years,37167.00,32939.00,88.60,19939.00,53.60
2022,Pasadena,Population 65 years and over,19521.00,17558.00,89.90,11297.00,57.90
2021,United States,Population 25 to 34 years,45079138.00,41695893.00,92.50,17624823.00,39.10
2021,United States,Population 35 to 44 years,43733561.00,39237019.00,89.70,17369884.00,39.70
2021,United States,Population 45 to 64 years,83488751.00,74111974.00,88.80,27949330.00,33.50
2021,United States,Population 65 years and over,55892014.00,48876097.00,87.40,16959426.00,30.30
2021,California,Population 25 to 34 years,5827869.00,5329062.00,91.40,2320502.00,39.80
2021,California,Population 35 to 44 years,5414686.00,4620304.00,85.30,2149393.00,39.70
2021,California,Population 45 to 64 years,9702788.00,7888593.00,81.30,3293719.00,33.90
2021,California,Population 65 years and over,5964526.00,4887031.00,81.90,1974203.00,33.10
2021,Pasadena,Population 25 to 34 years,22959.00,21955.00,95.60,14190.00,61.80
2021,Pasadena,Population 35 to 44 years,22536.00,20446.00,90.70,15019.00,66.60
2021,Pasadena,Population 45 to 64 years,35910.00,30459.00,84.80,16822.00,46.80
2021,Pasadena,Population 65 years and over,20656.00,17299.00,83.70,10687.00,51.70
