Region,Age_Group,Total,High_school_grad_or_higher_count,High_school_grad_or_higher_pct,Bachelors_or_higher_count,Bachelors_or_higher_pct
United States,Population 25 to 34 years,"45,233,264","41,945,152",92.7%,"17,984,171",39.8%
United States,Population 35 to 44 years,"44,047,644","39,712,990",90.2%,"17,827,897",40.5%
United States,Population 45 to 64 years,"82,603,914","73,458,353",88.9%,"28,280,607",34.2%
United States,Population 65 years and over,"57,822,315","50,765,578",87.8%,"17,815,659",30.8%
California,Population 25 to 34 years,"5,744,459","5,266,591",91.7%,"2,351,604",40.9%
California,Population 35 to 44 years,"5,395,388","4,650,072",86.2%,"2,198,152",40.7%
California,Population 45 to 64 years,"9,568,024","7,798,413",81.5%,"3,310,766",34.6%
California,Population 65 years and over,"6,158,902","5,036,014",81.8%,"2,075,419",33.7%
Pasadena,Population 25 to 34 years,"25,156","24,627",97.9%,"16,274",64.7%
Pasadena,Population 35 to 44 years,"19,076","17,402",91.2%,"11,540",60.5%
Pasadena,Population 45 to 64 years,"37,167","32,939",88.6%,"19,939",53.6%
Pasadena,Population 65 years and over,"19,521","17,558",89.9%,"11,297",57.9%
